text,label,query_index
Can I automatically top-up when traveling?,top_up_queries_or_issues,526cd7f17526
What kind of fiat currency can I used for holding and exchange?,other,f3cf7343067e
I did not get the item I ordered.  How should I go about this?  Should I just cancel my order or my payment?  Please help me.,other,9a19501c3a3c
Freeze my account it's been hacked.,needs_troubleshooting,d76b07db8cf8
is there a reason that my payment didnt go through,other,bd95ba09a18d
"I thought transfers were free, why was I charged?",other,de089a3d0200
Do the disposable cards have a transaction limit?,card_queries_or_issues,b80d992bafc1
Can I pay for my gas using my Apple watch?,other,3483144c2248
"I'm waiting for a money transfer to show, still.",other,31c62015b024
Can I exchange currencies with my account?,other,201b04d0ec49
Is the PIN sent in another message?,card_queries_or_issues,fe35faf94f97
Why does my statement have an extra fee?,needs_troubleshooting,f161e6b99f92
I'd like to know where my funds come from.,other,25ebad3d5bec
how to change name on account,other,01e4b1b2d60e
I need a new card and I live in the United States.,other,f53682c4fdb2
The wrong exchange rate was used when I bought something with a foriegn currency.,needs_troubleshooting,5a6410622dca
Can you help me to quickly cancel a transaction I accidentally did to the wrong account?,other,bdf2cf4bb3b3
What do you charge to top up US cards?,,f9ct7333337b
How do I get rid of my account ASAP?,other,c98129f2acb7
I was at an ATM and it swallowed my card.,card_queries_or_issues,702ffd95c6b3
What method do you use for the exchange rate?,other,d0fda5362676
Show me please how to reset my passcode.,other,c208ebc2f0d1
I did a transfer to my account but it doesn't show up,,a85ta60fdb59
Is there a way to track the delivery of my card?,card_queries_or_issues,08dadbb52c8a
Do I need to do anything special for my friend to send money to my account?,other,9947755acfa2
What is the maximum number of transactions I can do with a disposable card?,card_queries_or_issues,20232fe71984
Where do my funds originate from?,other,fae94367bd5c
Can I check to see where the funds came from?,other,0a92c43216e6
Can I get information on the identity checks?,other,839f7da61cf6
My card isn't letting me purchase something and I wanted to know why.,needs_troubleshooting,e46e6743735c
Can I use my American Express card with Apple Pay?,other,e7cadac6de65
Is there a charge for exchanging foreign currencies?,other,a3868d3af8da
top up by my card is that possible?,top_up_queries_or_issues,b51962fc692c
I am having trouble to verify my identity,needs_troubleshooting,8abd53066643
Why was the exchange wrong for the item I purchased?,needs_troubleshooting,49613749dc6a
What do you charge for an exchange fee?,other,0bd02a0ce9cf
I have a friend who needs money as soon as possibly. If I were to transfer it how long will it take to get to her?,needs_troubleshooting,1bd5bf5a4e54
Why isn't my top up working using my saved American Express in ApplePay?,other,e3047b6fd55e
Could you tell me about the restrictions that are on the disposable cards?,card_queries_or_issues,e1d97de11b56
Hello I made a bank transfer couple hours ago from my UK account but it doesn't show up yet. Can you please check if everything is alright with it?,needs_troubleshooting,1612042a2d27
Are all European currencies available for holding and exchange?,other,86f1c48d7e10
The payment on my card shows as pending.,other,a962c35a16f4
can i top up with check?,top_up_queries_or_issues,c55461edaf27
I'm not recognizing the card payment.,,f55t70c7ee03
How old does my daughter have to be to open an account?,other,09c7594273ff
Is it possible to hold money in multiple currencies?,other,a021e49dba5b
Will I be charged for a top off transfer?,top_up_queries_or_issues,f0aec63e09f8
How can I perform a dual money transferring from one account to another?,other,6d6a4a19ba58
I can't get money out of the ATM. Is my card actually working? It's the first time I tried using it,needs_troubleshooting,f824e3de9ce3
What currencies can I hold?,other,9527860619c6
how to change name,other,db82f2be1262
"Do you charge for cash withdrawals?  I want to get my hands on my own money and you appear to be charging me for the pleasure! Why is this, you'd never get this with my high street bank!",needs_troubleshooting,19562b987db9
Is it okay to use a bank card to top up,,c72t8fdedfc9
Can you tell me how to get my card on the app?,card_queries_or_issues,972e8ab1c800
There is a problem with my card. Somebody has removed money from my account in a town I haven't been to. Can you please freeze my account immediately?,needs_troubleshooting,1f591d150fbf
Why is the exchange rate on my card wrong?,needs_troubleshooting,ff6ec7792928
I was checking my statement and my top-up has been reverted,top_up_queries_or_issues,dfa4cf39b538
Why was my card declined in a shop?,other,4d6ea02fb0ab
"Transfer unable to be completed, states 'declined'",needs_troubleshooting,b11f21028f88
"your company is awful, i would like to delete my account please",other,658a8fd7e3d3
Why did my transfer fail?,needs_troubleshooting,588136325df8
Just received a message that my transfer is not possible??  What is going on.  I have done this before with no issues.,needs_troubleshooting,3a35050c683c
I paid with card and I was charged a fee,needs_troubleshooting,29e0cadbdd56
Is it possible to have more than one disposable card?,card_queries_or_issues,2a633d0ba8cf
I ordered something online a while ago and I haven't gotten it. I would like a refund.,other,c01898636357
"I'm interested in using fiat currencies, which do you support?",other,b9de5e53d7b7
Why did a transaction I made charge me $1?,needs_troubleshooting,768d2faad94a
Hello I changed my mind and really need a refund on one of things I bought recently. Can you please cancel the transaction and get my money back. Please it's urgent.,other,308a65032cae
How can I request cash back? The ATM gave me the wrong amount that I've been charged though...,needs_troubleshooting,59a93c7f4b8d
I didn't realize that there were any fees for withdrawing money from my account--this has never happened to me before.  What exactly are the fees?,needs_troubleshooting,2a85efb58482
What is the Top up rate charge for using a card in the US?,top_up_queries_or_issues,77974781a0a2
Where do I go to edit my personal details on my account?,other,79183fdc62f9
Why can't my ID be verified?,needs_troubleshooting,9f092c5e7f5d
I was mistakenly charged a fee for using my card.,needs_troubleshooting,21d479586af5
Which type of card will I receive?,other,c0a2d95f16bc
My bank statement doesn't show the cash deposit I made recently.,needs_troubleshooting,91777a8d4868
How would I go about getting a physical card to use in stores?,card_queries_or_issues,5c6cfccb5007
How many tries do I have to enter my pin before I'm blocked?,other,ad8f20a0fc24
I transferred money to my account but it is not showing.,needs_troubleshooting,98592130fa9b
What is the exchange fee that is charged?,other,166f3ce4c531
my card was frozen due to putting in the wrong pin too much.  how many tries do i have,needs_troubleshooting,5fa7eb009274
An incorrect exchange rate was applied to an item I bought.,needs_troubleshooting,3c999308f8dc
Can I use any card and currency?,card_queries_or_issues,7233cf50f5ac
I can not find my card pin.,card_queries_or_issues,c6cc7814062b
In what increments can I top-up my card?,top_up_queries_or_issues,43f39692b4a3
Can you tell me the limit for top ups?,top_up_queries_or_issues,b63360b42856
IS there anywhere that a card cannot be delivered?,card_queries_or_issues,e0ec016661de
How can I get a card sent to China?,card_queries_or_issues,000d0b3fdee5
I used this account a lot during the last month to manage my payments for my new place abroad. Seems that suddenly fees have increased? Shouldn't you instead reward your frequent customers instead of putting an additional fee suddenly?!,other,d309ee1b3d97
I can't seem to get my virtual card to work.,needs_troubleshooting,32394289d29d
"Hi, I'm buying my son Bertie a starter home in London.  I'm just trying to send the 5% deposit over to the agent. It's only £200,000 but seems to be throwing an error.  What is going on?  If I wait any longer the house prices might rise, can you look in to it please?",needs_troubleshooting,5122993ba1e2
I would like to verify the source of my money,other,9dc48657ffa4
i have not received my card,card_queries_or_issues,3370712320a5
"I requested a refund from a merchant several days ago, but don't see anything showing up in my account yet.  Can you check on your end to see if the money has reached you guys?",needs_troubleshooting,e0a7fd1f03e1
I think my transfer failed. What do I do now?,needs_troubleshooting,f3e8c57bfd3f
How do i set up auto top-up?,top_up_queries_or_issues,ddfc55e1a06e
It's been a week and I have done everything that I was asked to do and still nothing. I have contacted the seller and have not gotten a response. Please understand my frustration and put the money back in my account.,needs_troubleshooting,c2f7f3d7d349
My balance is not what I thought it was following an ATM withdrawal,other,a4db84eb1c55
